output,SoloDemand
556.6422386,50
419.3367468,50
428.0306324,50
494.8104669,50
482.9538973,50
494.5387549,50
618.5485187,50
745.8425153,50
690.7675621,50
557.6603258,50
468.1195592,50
384.4696959,50
317.9599262,50
329.2742039,50
259.0093325,50
162.1112692,50
128.3684647,50
72.69465607,50
82.65973954,50
131.2855953,50
98.35869669,50
158.3188679,50
237.6192613,50
287.9504174,50
264.6490483,50
303.9877929,50
376.8120719,50
411.2521882,50
518.4993261,50
578.1253458,50
613.9456876,50
692.2660904,50
583.495952,50
507.9464927,50
510.5364025,50
497.5783212,50
474.4513042,50
459.6385247,50
441.9605402,50
449.0756379,50
456.9896143,50
521.6022356,50
574.6340301,50
600.6555556,50
641.1348343,50
610.5103069,50
586.6732762,50
625.8102738,50
666.0278044,50
727.7076822,50
781.1317254,50
832.6706485,50
886.1019975,50
620.3098591,50
697.1033075,50
691.7718874,50
708.5421604,50
740.1280719,50
744.4200528,50
872.5685272,50
886.7735884,50
885.1668808,50
804.1668676,50
858.8917938,50
482.2456982,50
239.0588824,50
165.8977791,50
235.7158835,50
396.6229892,50
426.5395722,50
339.4305246,50
287.9504174,50
353.2351483,50
339.5291819,50
275.711407,50
389.3576389,50
630.1035133,50
693.6666523,50
660.4402456,50
856.3586692,50
872.0007146,50
862.6531904,50
893.0792111,50
872.5685272,50
806.2720158,50
726.308856,50
627.9889687,50
513.9161917,50
419.75945,50
441.1830717,50
291.6923924,50
190.4419323,50
97.38815269,50
45.40065415,50
30.44708921,50
